survey,siteID,phase,area,sub_phase,palatial,siteUID,surUID,cat_area,centroid_x,centroid_y,rarea,radius,density,catch_area,catch_radius,,,
GOU,1,EMIII-MMIA,0,EMIII-MMIA,prepal,1,G1,100,662203,3886800,100,5.642,0.5,0.3,30.90193616,,,
GOU,1,MMIB-II,0,MMIB-II,proto,1,G1,30000,662259,3886710,30000,97.721,450,270,927.0580849,,,
GOU,2,HEL-RMN,0,CLASSICAL,greco-rmn,138,G2,1000,661794,3887440,1000,17.841,5,3,97.72050238,,,
GOU,2,HEL-RMN,0,CLASSICAL,greco-rmn,139,G2,700,662082,3887170,700,14.927,3.5,2.1,81.75883811,,,
GOU,2,ORIENT-ARCH,0,ORIENT-ARCH,greek,1,G2,100,662102,3887220,100,5.642,0.5,0.3,30.90193616,,,
GOU,2,MMIB-II,0,MMIB-II,proto,2,G2,1200,662102,3887220,1200,19.544,6,3.6,107.047447,,,
GOU,3,FN,0,FN,prepal,1,G3,100,662249,3886210,100,5.642,0.5,0.3,30.90193616,,,
GOU,3,EMI-II,0,EMI-II,prepal,1,G3,8400,662202,3886260,8400,51.709,84,50.4,400.5348707,,,
GOU,4,EMI-II,0,EMI-II,prepal,2,G4,100,661848,3887430,100,5.642,0.5,0.3,30.90193616,,,
GOU,4,MMIII-LMI,0,MMIII-LMI,neo,1,G4,1600,661868,3887390,1600,22.568,8,4.8,123.6077446,,,
GOU,4,MMIB-II,0,MMIB-II,proto,3,G4,1600,661875,3887390,1600,22.568,8,4.8,123.6077446,,,
GOU,5,HEL-RMN,0,HELLENISTIC,greco-rmn,1,G5,700,661785,3887450,700,14.927,3.5,2.1,81.75883811,,,
GOU,5,MMIB-II,0,MMIB-II,proto,4,G5,700,661815,3887450,700,14.927,3.5,2.1,81.75883811,,,
GOU,5,MMIII-LMI,0,MMIII-LMI,neo,2,G5,700,661825,3887460,700,14.927,3.5,2.1,81.75883811,,,
GOU,6,MMIII-LMI,0,MMIII-LMI,neo,3,G6,3400,662475,3886350,3400,32.898,34,20.4,254.8238937,,,
