survey,siteID,phase,sub_phase,palatial,siteUID,surUID,cat_area,centroid_x,centroid_y,rarea,radius
GOU,1,EMIII-MMIA,EMIII-MMIA,prepal,1,G1,100,662203,3886800,100,5.642
GOU,8,EMIII-MMIA,EMIII-MMIA,prepal,2,G8,15000,663144,3886470,15000,69.099
GOU,10,EMIII-MMIA,EMIII-MMIA,prepal,3,G10,9000,663432,3886710,9000,53.524
GOU,11,EMIII-MMIA,EMIII-MMIA,prepal,4,G11,2000,663315,3886020,2000,25.231
GOU,14,EMIII-MMIA,EMIII-MMIA,prepal,5,G14,2600,663636,3886110,2600,28.768
GOU,17,EMIII-MMIA,EMIII-MMIA,prepal,6,G17,18800,664093,3886540,18800,77.358
GOU,26,EMIII-MMIA,EMIII-MMIA,prepal,7,G26,3700,664833,3885690,3700,34.318
GOU,28,EMIII-MMIA,EMIII-MMIA,prepal,8,G28,4900,664930,3885320,4900,39.493
GOU,30,EMIII-MMIA,EMIII-MMIA,prepal,9,G30,1700,665001,3884960,1700,23.262
GOU,31,EMIII-MMIA,EMIII-MMIA,prepal,10,G31,400,664681,3884600,400,11.284
GOU,33,EMIII-MMIA,EMIII-MMIA,prepal,11,G33,8100,664588,3884090,8100,50.777
GOU,44,EMIII-MMIA,EMIII-MMIA,prepal,12,G44,1100,666255,3886060,1100,18.712
GOU,45,EMIII-MMIA,EMIII-MMIA,prepal,13,G45,100,666261,3886100,100,5.642
GOU,54,EMIII-MMIA,EMIII-MMIA,prepal,14,G54,100,667595,3886630,100,5.642
GOU,60,EMIII-MMIA,EMIII-MMIA,prepal,15,G60,100,667051,3886360,100,5.642
GOU,63,EMIII-MMIA,EMIII-MMIA,prepal,16,G63,300,666970,3885620,300,9.772
GOU,65,EMIII-MMIA,EMIII-MMIA,prepal,17,G65,3200,666842,3884710,3200,31.915
GOU,84,EMIII-MMIA,EMIII-MMIA,prepal,18,G84,4600,665900,3882250,4600,38.265
GOU,90,EMIII-MMIA,EMIII-MMIA,prepal,19,G90,1300,665465,3881980,1300,20.342
GOU,97,EMIII-MMIA,EMIII-MMIA,prepal,20,G97,2400,665436,3881740,2400,27.64
GOU,99,EMIII-MMIA,EMIII-MMIA,prepal,21,G99,200,665147,3881760,200,7.979
GOU,105,EMIII-MMIA,EMIII-MMIA,prepal,22,G105,1000,664339,3881360,1000,17.841
GOU,114,EMIII-MMIA,EMIII-MMIA,prepal,23,G114,4800,664886,3880840,4800,39.088
GOU,118,EMIII-MMIA,EMIII-MMIA,prepal,24,G118,4800,666141,3880660,4800,39.088
GOU,131,EMIII-MMIA,EMIII-MMIA,prepal,25,G131,6400,664631,3879590,6400,45.135
GOU,135,EMIII-MMIA,EMIII-MMIA,prepal,26,G135,3200,664809,3883110,3200,31.915
GOU,137,EMIII-MMIA,EMIII-MMIA,prepal,27,G137,1200,663319,3879630,1200,19.544
GOU,144,EMIII-MMIA,EMIII-MMIA,prepal,28,G144,5000,663226,3879050,5000,39.894
GOU,151,EMIII-MMIA,EMIII-MMIA,prepal,29,G151,230,664156,3878696,230,8.556
